★入賞条件/参考ボーダー★,,,,
プラチナトロフィー上位10位,204.3以上,,,
ゴールドトロフィー上位10％,148.1以上,,,
シルバートロフィー上位30％,107.3以上,,,
ブロンズトロフィー上位70％,33.5以上,,,
,,,,
順位,名前,段位,アニバーサリーPT,麻雀ファイトガール最終更新：2024/04/20 16:30時点のランキング
001位,〈julia〉,雀星Lv.7,222.6,
002位,リョウ,雀星Lv.78,217.2,
003位,アヤサト,雀星Lv.29,216.6,
004位,メロ,雀星Lv.58,216.1,
005位,MARONY,雀星Lv.3,212.8,
006位,うみみクンR,雀星Lv.13,212.3,
007位,shimmy,２級,211.5,
008位,おたつ,雀星Lv.4,207.8,
009位,LCB,雀星Lv.43,207,
010位,にてん,雀星Lv.1,204.3,
011位,かずたか,６級,203.3,
012位,よしだ,雀星Lv.3,202.2,
013位,ドラゴソ,雀星★Lv.67,202.1,
014位,ありり,雀星★Lv.33,201.8,
015位,DEF,二段,201.5,
016位,щ(▼ω▼)щ,雀星Lv.76,200.4,
017位,リョウ,雀星Lv.2,200.3,
018位,7シャンテン,雀星Lv.93,200.3,
019位,ehyai,雀星Lv.1,200.3,
020位,ゆゆ,雀星Lv.20,199.8,
021位,BSUNDER,八段,199.7,
022位,ゆきほたる,雀星Lv.7,199.3,
023位,V2カプル,雀星Lv.48,197.4,
024位,てらいカズオ,雀星Lv.17,196.9,
025位,*あお*,雀星Lv.43,194.9,
026位,ときた,雀星Lv.17,194.7,
027位,eiri,雀星★Lv.49,194.6,
028位,じょしゅくん,雀星Lv.1,194.1,
029位,SB,雀星Lv.71,193.9,
030位,まよぬ,雀星★Lv.17,193.7,
031位,N0Z0M1ω,三段,193.6,
032位,らびぃ,雀星★Lv.29,193.5,
033位,みなみのみなみ,五段,193.5,
034位,キョージュ,雀星Lv.20,193.5,
035位,フミュー,雀星Lv.9,193,
036位,Fujimat,雀星Lv.2,192.9,
037位,リロイ,雀星Lv.5,192.6,
038位,SKコマチ,雀星★Lv.80,191.4,
039位,アキナツ,２級,191.3,
040位,ファイトガール,雀星Lv.10,190.1,
041位,ツバッチ,九段,189.7,
042位,ささみ,雀星Lv.4,189.4,
043位,BYK,雀星Lv.10,189.1,
044位,さだお,雀星Lv.4,189.1,
045位,ひろ,雀星Lv.2,188.7,
046位,YASURI,二段,188.6,
047位,ジン,雀星Lv.1,188.1,
048位,こっせつ,雀星Lv.15,187.7,
049位,NOE,雀星Lv.10,187.6,
050位,しんや34,雀星Lv.1,187.5,
051位,Ark,雀星Lv.2,187,
052位,ちゃんた,２級,186.9,
053位,であるか,初段,186,
054位,KUMA9,雀星Lv.5,185.3,
055位,ふゆさくら,５級,185.1,
056位,ルタ,雀星Lv.9,185.1,
057位,ゆうきゆうな,雀星Lv.2,183.8,
058位,ルゥ,雀星Lv.5,183.1,
059位,ぜふ,雀星Lv.1,183,
060位,フロストらとす,雀星Lv.17,182.6,
061位,－97cha+,三段,182.4,
062位,ぬりかべ,雀星Lv.5,182,
063位,るも,初段,181.3,
064位,ミューラ,雀星Lv.17,180.8,
065位,MEMちょ,雀星Lv.56,180.8,
066位,ナマサ,四段,180.1,
067位,mol,雀星Lv.41,179.8,
068位,dom,雀星Lv.1,179.3,
069位,Basyou,４級,179.1,
070位,D＾N＾,初段,179,
071位,カイトアイス,雀星Lv.1,179,
072位,ファイトガール,七段,178.5,
073位,きゃら,雀星Lv.6,178.4,
074位,かれん,雀星Lv.71,178.3,
075位,ぴよりん,雀星Lv.7,178.1,
076位,ミルスェット,雀星Lv.15,177.8,
077位,しろうさ☆ω☆,雀星★Lv.31,177.1,
078位,りんどう,八段,176.6,
079位,dai,三段,176.6,
080位,CZ,雀星Lv.1,176.2,
081位,れーしん,雀星Lv.4,176.1,
082位,つむぎり,雀星Lv.19,176,
083位,ザク,雀星Lv.9,176,
084位,vita1,五段,175.9,
085位,どぼん,雀星Lv.7,175.5,
086位,ファイトガール,雀星Lv.9,175.2,
087位,パル,雀星Lv.10,175.1,
088位,ニショノセキ,雀星Lv.13,175,
089位,はやぶさ,八段,174.7,
090位,やななω,雀星Lv.33,174.3,
091位,ファイトガール,雀星Lv.3,174.3,
092位,めろりぬ,雀星★Lv.24,174,
093位,りっく,四段,173.9,
094位,ルル,雀星Lv.20,173.6,
095位,レパード,雀星Lv.26,173.4,
096位,らりほー,三段,173.1,
097位,たかせき,雀星Lv.3,173.1,
098位,みくるか,雀星Lv.3,172.8,
099位,ユウキュウホシ,雀星★Lv.37,172.1,
100位,ミラ,雀星Lv.4,171.6,
101位,ROUTE,雀星Lv.6,171.5,
102位,シャケとサラミ,雀星Lv.9,171.2,
103位,キムショウ,雀星Lv.91,170.9,
104位,SagamiD,３級,170.8,
105位,なるみ,雀星Lv.2,170.7,
106位,ドラポンボール,雀星Lv.24,170.2,
107位,ケロタン,初段,170.1,
108位,yosimi,十段,170,
109位,あらtaka,五段,169.9,
110位,Sii,雀星Lv.11,169.8,
111位,DBEYR,雀星Lv.19,169.6,
112位,よもぎ,３級,169.2,
113位,ニャリンソン,雀星Lv.11,169.2,
114位,わっふる,雀星Lv.10,168.9,
115位,ヂェニィ,雀星Lv.10,168.9,
116位,あくじき,雀星Lv.75,168.7,
117位,アベシ,雀星Lv.27,168.3,
118位,84,雀星Lv.56,168.2,
119位,W・L・S,六段,168,
120位,あめぴぴ,雀星Lv.3,168,
121位,いかりとしあき,雀星Lv.38,167.9,
122位,BWM,雀星★Lv.72,167.6,
123位,TAO,雀星Lv.56,167.6,
124位,よしぷー,雀星★Lv.7,167,
125位,ふじわらとうふ,１級,167,
126位,CAM,雀星Lv.2,166.5,
127位,しょめ,２級,166.4,
128位,みてあ,５級,166.3,
129位,ひでお,雀星Lv.45,166.3,
130位,Yasu128,４級,166.3,
131位,12,八段,166,
132位,hakumai,雀星Lv.15,165.3,
133位,たろ,雀星Lv.4,165,
134位,ポーラッカ,雀星Lv.77,164.8,
135位,ふくさん,雀星Lv.9,164.7,
136位,やえ,雀星Lv.20,164.7,
137位,ちょっぴぃ,雀星Lv.3,164.7,
138位,のいたんです,八段,164.6,
139位,イッツー,雀星Lv.39,164.5,
140位,ウィッチリー,雀星Lv.16,164.4,
141位,もめん,雀星Lv.11,164.4,
142位,ペーター2,雀星Lv.63,164.2,
143位,なるきゅ,雀星Lv.11,163.9,
144位,マジシャン,雀星Lv.31,163.7,
145位,カワウソくん,雀星Lv.64,163.6,
146位,yossy,八段,163.3,
147位,REI,四段,163.2,
148位,WAON,雀星Lv.2,162.3,
