id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_7e54864ff724b8cad7bf622c70ea1352","7e54864ff724b8cad7bf622c70ea1352","ビックバン函館","函館市梁川町9-3パボッツ函館3F","五稜郭公園前駅から徒歩5分","0138-54-7100","10:00～24:00","","41.78900071 140.7444508"
"id_shop_421dece59238718c4dd4f33baa3b7b82","421dece59238718c4dd4f33baa3b7b82","ディノスパーク上磯","北斗市七重浜7-14-1スーパーセンタートライアル上磯1F","","0138-48-1000","月曜～木曜10:00～20:00 / 金曜10:00～22:00 / 土日祝9:00～22:00","無し","41.820743 140.696058"
"id_shop_cda8cddd4c62b131fb0fd872ef64733b","cda8cddd4c62b131fb0fd872ef64733b","ディノスパーク北見","北見市西三輪5-1-16","国道39号 大雪大通沿い","0157-32-6011","10:00～24:00","無し","43.79655355 143.8426866"
"id_shop_fb6a5e14d3fab68d345b777ac44e531e","fb6a5e14d3fab68d345b777ac44e531e","ビッグ･バン室蘭","室蘭市中島本町2-8-1","ショッピングセンターモルエ(MORUE)中島 側","0143-44-5222","10:00～24:00","無し","42.35370861 141.014187"
"id_shop_3406b6f43c2b87c3b06e423b44507ffd","3406b6f43c2b87c3b06e423b44507ffd","ディノスパーク室蘭","室蘭市東町4-31-3","JR東室蘭駅下車徒歩15分","0143-44-1151","10:00～24:00","無し","42.34253462 141.026287"
"id_shop_b1aab9e72a53b34ffabbdb7cd214af0d","b1aab9e72a53b34ffabbdb7cd214af0d","遊ランド富良野店","富良野市弥生町5-50","富良野駅徒歩10分","0167-39-0123","13:00～翌1:00","無し","43.34423305 142.3786409"
"id_shop_353a4a59d5eccd8f0ffe4e5d17e5ee49","353a4a59d5eccd8f0ffe4e5d17e5ee49","ディノスパーク帯広","帯広市白樺16条西2ドリームタウン白樺内","ドリームタウン白樺内","0155-38-2811","9:00～翌3:00","無し","42.91947724 143.174195"
"id_shop_c2edbf167ab4012e141361d9ed75239d","c2edbf167ab4012e141361d9ed75239d","カラオケルームキャッツアイ恵庭店","恵庭市住吉町2-9-1","JR恵庭駅下車徒歩20分","0123-32-1500","10:00～24:00","無し","42.87586684 141.5834741"
"id_shop_7e18dc21a90f7bdf0cacfb602211066f","7e18dc21a90f7bdf0cacfb602211066f","キャッツアイ静内店","日高郡新ひだか町静内木場町2-1-41","","0146-43-0888","10:00～24:00","","42.341483 142.354614"
"id_shop_738ffe41ad62806df859bf02a92bd875","738ffe41ad62806df859bf02a92bd875","ソユーゲームフィールド旭川駅前","旭川市宮下通7-2-5イオンモール旭川駅前4F","","0166-21-3737","","","43.7639638 142.3552286"
"id_shop_d09699e20526b401db16ca2e44416644","d09699e20526b401db16ca2e44416644","遊ランド春光店","旭川市春光1条7-2-25","JR旭川駅車20分","0166-55-3355","11:00～翌4:00","無し","43.798192 142.373983"
