★入賞条件/参考ボーダー★
プラチナトロフィー上位10位,154.1以上
ゴールドトロフィー上位10％,113.2以上
シルバートロフィー上位30％,86.2以上
ブロンズトロフィー上位70％,37.0以上

178位,岡田 紗佳 プロ,119.9
178位,岡田 紗佳 プロ,119.9

順位,名前,段位,エメラルドPT,麻雀ファイトガール最終更新：2023/07/23 20:50時点のランキング
001位,キョクセイ,雀星Lv.26,193.2
002位,しるこサンド,雀星Lv.11,161.1
003位,パインのパイ3,九段,160.0
004位,らすてぃ,雀星Lv.34,159.8
005位,MEMちょ,雀星Lv.17,159.3
006位,ナウなヤング,雀星Lv.4,156.9
007位,chrno,四段,156.0
008位,なおちゃ,六段,154.6
009位,〈＝∀＝〉,雀星Lv.4,154.4
010位,CAT,雀星Lv.26,154.1
011位,MAXX,雀星Lv.13,151.2
012位,たまもん,雀星Lv.8,149.3
013位,ポット！！,九段,147.5
014位,KuReHa,５級,146.8
015位,EVE,雀星Lv.11,145.8
016位,ニラタマ329,四段,144.9
017位,Cynthia,八段,144.0
018位,まああ,雀星Lv.2,144.0
019位,マクラウド,六段,143.6
020位,ファイトガール,雀星Lv.22,143.3
021位,SOU,雀星Lv.3,143.0
022位,みはらだ,雀星Lv.3,142.5
023位,アル・アジフ,六段,142.3
024位,ごごきゅーぶ,雀星Lv.18,142.0
025位,ファイトガール,雀星Lv.1,141.7
026位,KAMINN,雀星Lv.8,141.2
027位,おゆま,３級,140.5
028位,ほーすけ,七段,139.6
029位,baroque,５級,139.4
030位,strmdn,九段,139.1
031位,キャラメル,雀星Lv.43,139.0
032位,とりてん,五段,138.9
033位,ツキ,雀星Lv.63,138.8
034位,ELISHE♪,四段,138.8
035位,とわプー,初段,138.7
036位,ユウ,七段,138.7
037位,ファイトガール,雀星Lv.4,138.1
038位,ふくさん,六段,138.0
039位,ルッピョヨ,九段,138.0
040位,DJはったん,７級,137.1
041位,YOSIO,雀星Lv.8,137.1
042位,ロクスケ,四段,136.4
043位,キムショウ,雀星Lv.40,136.3
044位,よしぷー,雀星Lv.30,136.2
045位,ファイトガール,六段,136.1
046位,じばくれい,雀星Lv.3,135.8
