

順位,名前,段位,エメラルドPT,麻雀ファイトガール最終更新：2023/09/27 20:50時点のランキング
001位,タテナオリ・セン,総合スコア 522.8,りとえるしあ雀星Lv.8,個人スコア322.2,ファイトガールスコア200.6
002位,ナナツノ・ツミレ,総合スコア 501.0,DESSA雀星Lv.13,個人スコア321.3,ファイトガールスコア179.7
003位,アマト・テンシ,総合スコア 488.7,めろりぬ雀星Lv.42,個人スコア284.6,ファイトガールスコア204.1
004位,ゼツバミ・ヤオ,総合スコア 487.2,SKコマチ雀星★Lv.6,個人スコア292.2,ファイトガールスコア195.0
005位,パイン,総合スコア 487.1,せが雀星Lv.39,個人スコア315.8,ファイトガールスコア171.3
006位,クニノカミ・ムサシ,総合スコア 481.2,とみたける雀星Lv.34,個人スコア283.2,ファイトガールスコア198.0
007位,アンコク・ミツバ,総合スコア 479.6,ミント雀星Lv.24,個人スコア284.3,ファイトガールスコア195.3
008位,トイトイ,総合スコア 479.6,ぐでかご雀星Lv.67,個人スコア279.4,ファイトガールスコア200.2
009位,ヤワラギ・ヒヨリ,総合スコア 478.8,うおたみ雀星Lv.24,個人スコア299.2,ファイトガールスコア179.6
010位,藤崎詩織,総合スコア 469.4,ひでじ雀星Lv.75,個人スコア321.1,ファイトガールスコア148.3
個別ランキングヤワラギ・ヒヨリ
001位,うおたみ,雀星Lv.24,299.2
002位,イッツー,雀星Lv.15,257.1
003位,ナガセ,雀星Lv.3,255.5
004位,プルンプルまる,雀星Lv.19,254.1
005位,ウシコ,雀星Lv.10,245.3
006位,POP,九段,234.2
007位,Sac,初段,231.1
008位,のだコトネ,雀星Lv.5,225.2
009位,april,九段,224.7
010位,グロウアップ,雀星Lv.5,212.6
011位,とおりん,雀星Lv.1,210.1
012位,テンスー,雀星Lv.5,209.5
013位,ECE116,雀星Lv.1,209.1
014位,うめポン,雀星Lv.45,208.1
015位,てるてるー,六段,192.6
016位,なける,雀星Lv.1,189.2
017位,RAPID,雀星Lv.3,189.0
018位,ブレクト,雀星Lv.1,188.5
019位,かしわもち,雀星Lv.6,179.6
020位,KUMA9,雀星Lv.1,179.1
021位,トップクラウン,六段,178.9
022位,ヤリカバゥ,二段,178.8
023位,サージュ,初段,177.3
024位,どら,３級,177.1
025位,チンイツ,雀星Lv.9,176.5
026位,ポット！！,雀星Lv.1,175.5
027位,はーまん,九段,171.4
028位,なね,７級,170.7
029位,Ray,雀星Lv.3,170.6
030位,ノカレ,雀星Lv.1,160.6
031位,KOOOU,雀星Lv.4,159.3
032位,コージロー,雀星Lv.30,158.4
033位,けいしゃ,雀星Lv.1,158.1
034位,RON,五段,156.2
035位,SURIN,雀星Lv.3,148.0
036位,BAYA,四段,146.3
037位,いちりく,八段,146.2
038位,トラウデン,四段,145.3
039位,イシダイ,３級,143.5
040位,マナティー,１級,141.9
041位,シルメリア,十段,141.6
042位,イチ,雀星Lv.2,140.2
043位,ホべつ4マン♪,雀星Lv.6,137.7
044位,ひで,七段,136.7
045位,HAIDO！？,６級,134.2
046位,NOE,雀星Lv.2,133.4
047位,あおばや,七段,133.0
048位,Coffee,雀星Lv.29,131.8
049位,Nyaight,五段,130.5
050位,ハメごんた,初段,126.7
個別ランキングタテナオリ・セン
001位,りとえるしあ,雀星Lv.8,322.2
002位,ファイトガール,雀星Lv.1,302.4
003位,JAKE,雀星Lv.5,282.8
004位,ほっけ,雀星Lv.5,244.6
005位,SLCふー,雀星Lv.5,241.6
006位,たぬきち,雀星Lv.5,238.3
007位,moji2,雀星Lv.16,234.7
008位,Halu,６級,229.8
009位,ピコ,雀星Lv.5,228.4
010位,えびたま,雀星Lv.2,222.8
011位,らりるん,雀星Lv.3,221.9
012位,ぬめ,雀星Lv.17,219.7
013位,つばす,雀星Lv.2,219.3
014位,HIKARU,八段,214.8
015位,フェネック,雀星Lv.17,207.3
016位,ホムサ,六段,205.0
017位,あれーぬ,雀星Lv.10,204.1
018位,YUI,雀星Lv.5,203.3
