,,,,,
,,,,,
順位,名前,段位,KACPT,麻雀ファイトガール最終更新：2023/10/01 19:20時点のランキング,
001位,タテナオリ・セン,総合スコア 563.7,JAKE雀星Lv.5,個人スコア341.8,ファイトガールスコア221.9
002位,トイトイ,総合スコア 552.5,ぐでかご雀星Lv.68,個人スコア324.9,ファイトガールスコア227.6
003位,アマト・テンシ,総合スコア 550.5,しあるん雀星Lv.97,個人スコア320.3,ファイトガールスコア230.2
004位,パイン,総合スコア 542.0,せが雀星Lv.38,個人スコア334.0,ファイトガールスコア208.0
005位,ナナツノ・ツミレ,総合スコア 534.5,DESSA雀星Lv.14,個人スコア321.3,ファイトガールスコア213.2
006位,ヤワラギ・ヒヨリ,総合スコア 526.4,うおたみ雀星Lv.26,個人スコア316.6,ファイトガールスコア209.8
007位,ゼツバミ・ヤオ,総合スコア 522.9,SKコマチ雀星★Lv.7,個人スコア297.6,ファイトガールスコア225.3
008位,藤崎詩織,総合スコア 515.6,ひでじ雀星Lv.76,個人スコア351.5,ファイトガールスコア164.1
009位,クニノカミ・ムサシ,総合スコア 509.9,ぽむ十段,個人スコア287.7,ファイトガールスコア222.2
010位,アンコク・ミツバ,総合スコア 503.2,ミント雀星Lv.24,個人スコア284.3,ファイトガールスコア218.9
個別ランキングヤワラギ・ヒヨリ,,,,,
001位,うおたみ,雀星Lv.26,316.6,,
002位,プルンプルまる,雀星Lv.20,261.3,,
003位,ウシコ,雀星Lv.11,261.3,,
004位,ナガセ,雀星Lv.2,259.3,,
005位,イッツー,雀星Lv.15,257.1,,
006位,のだコトネ,雀星Lv.6,257.1,,
007位,Sac,二段,248.2,,
008位,KUMA9,雀星Lv.1,243.5,,
009位,ANK〇,初段,242,,
010位,とおりん,雀星Lv.1,240.4,,
011位,テンスー,雀星Lv.6,238.6,,
012位,てるてるー,五段,235.4,,
013位,POP,十段,234.2,,
014位,ポット！！,雀星Lv.1,225.7,,
015位,ブレクト,雀星Lv.1,225.5,,
016位,april,雀星Lv.3,224.7,,
017位,RAPID,雀星Lv.4,223.9,,
018位,HIS8,雀星Lv.3,221.7,,
019位,SURIN,雀星Lv.3,221,,
020位,とかげ,雀星Lv.13,220.6,,
021位,なける,雀星Lv.1,215.6,,
022位,ECE116,雀星Lv.1,215.3,,
023位,ちゅ～る,雀星Lv.2,214,,
024位,あおばや,八段,213.1,,
025位,うめポン,雀星Lv.44,212.7,,
026位,グロウアップ,雀星Lv.5,212.6,,
027位,ヤリカバゥ,三段,207.5,,
028位,チンイツ,雀星Lv.9,205.7,,
029位,あーちゃん,雀星Lv.1,197.6,,
030位,むくぼき,三段,197,,
031位,なね,５級,195.7,,
032位,サージュ,二段,195.3,,
033位,いちりく,八段,193.6,,
034位,どら,２級,191.3,,
035位,イシダイ,初段,187.9,,
036位,はーまん,九段,187.6,,
037位,かしわもち,雀星Lv.6,179.6,,
038位,トップクラウン,六段,178.9,,
039位,KOOOU,雀星Lv.4,175.1,,
040位,RON,五段,173.8,,
041位,Masho,６級,172,,
042位,フミュー,雀星Lv.2,171.6,,
043位,コージロー,雀星Lv.30,171.4,,
044位,Ray,雀星Lv.3,170.6,,
045位,はま,雀星★Lv.18,167.4,,
046位,HAIDO！？,５級,167.1,,
047位,ウォルテ,九段,166.4,,
048位,ノカレ,雀星Lv.1,165.6,,
049位,BAYA,四段,165.5,,
050位,Nyaight,五段,165.5,,
個別ランキングタテナオリ・セン,,,,,
